//id tytuł data godzina cena czas_trwania numer_sali
0 Kosmici_w_mojej_szkole 22.01.2025 10:00 30 1:25 4
1 Matrix 23.01.2025 10:00 100 1:30 3
2 Pamięć_absolutna 24.01.2025 15:30 50 1:45 2
3 Gwiezdne_wojny 25.01.2025 13:00 80 2:15 1
4 Skazani_na_shawshank 26.01.2025 14:45 60 2:20 3
5 Incepcja 27.01.2025 12:30 70 2:10 3
6 Avengers 28.01.2025 11:15 90 2:30 4
7 Pulp_Fiction 29.01.2025 19:00 40 2:15 1
8 Gladiator 30.01.2025 16:45 55 2:05 2
9 Shrek 31.01.2025 14:30 45 1:40 3
10 Siedem 01.02.2025 21:00 55 2:20 1
11 Terminator 02.02.2025 20:30 70 2:15 2
12 Pianista 03.02.2025 13:45 40 2:10 3
14 Forrest_Gump 04.02.2025 15:15 60 2:20 3
15 Milczenie_owiec 05.02.2025 14:00 45 2:05 3
16 Człowiek_z_marmuru 06.02.2025 11:10 35 2:00 2
17 AAA 07.02.2025 10:10 45 2:30 2
18 Król_Lew 08.02.2025 15:00 60 2:10 2
19 Shrek_2 09.02.2025 13:45 50 2:05 1
20 Gladiator 10.02.2025 12:30 50 2:05 3
21 Szklana_pułapka 11.02.2025 11:30 45 2:00 3
22 Titanic 12.02.2025 16:15 55 2:15 2
23 Mad_Max 13.02.2025 13:15 60 2:10 1
24 Avatar 14.02.2025 14:30 65 2:15 2
25 Obcy 15.02.2025 14:00 65 2:20 2
26 Szeregowiec_Ryan 16.02.2025 15:30 65 2:20 2
27 Wyspa_tajemnic 17.02.2025 22:15 145 1:30 1
28 Kevin_sam_w_domu 18.02.2025 19:00 60 1:45 1
29 Grinch:_Świąt_nie_będzie 19.02.2025 14:00 45 1:40 2
30 To_właśnie_miłość 18.02.2025 11:30 35 2:10 4
